,model,cena,link
89,iphone 15 pro 128gb,4 000 zł,https://www.olx.pl/d/oferta/iphone-15-pro-128gb-CID99-ID105Oc7.html
90,i,1 480 zł,https://www.olx.pl/d/oferta/iphone-13-black-CID99-ID106qwn.html
91,i,1 480 zł,https://www.olx.pl/d/oferta/iphone-13-black-CID99-ID106qwn.html
92,i,699 zł,https://www.olx.pl/d/oferta/iphone-rozne-modele-sklep-koscierzyna-CID99-IDQf6eR.html
93,i,699 zł,https://www.olx.pl/d/oferta/iphone-rozne-modele-sklep-koscierzyna-CID99-IDQf6eR.html
94,i,330 zł,https://www.olx.pl/d/oferta/iphone-12-pro-wymiana-zbitej-klapki-obudowy-montaz-w-cenie-CID99-IDYIFgo.html
95,i,330 zł,https://www.olx.pl/d/oferta/iphone-12-pro-wymiana-zbitej-klapki-obudowy-montaz-w-cenie-CID99-IDYIFgo.html
96,iphone 11 128 gb,800 zł,https://www.olx.pl/d/oferta/iphone-11-128-gb-CID99-IDZLmby.html
97,iphone 11 128 gb,800 zł,https://www.olx.pl/d/oferta/iphone-11-128-gb-CID99-IDZLmby.html
98,i,1 480 zł,https://www.olx.pl/d/oferta/iphone-13-black-CID99-ID106qwn.html
99,i,1 480 zł,https://www.olx.pl/d/oferta/iphone-13-black-CID99-ID106qwn.html
100,i,220 zł,https://www.olx.pl/d/oferta/iphone-8-100-kondycji-baterii-CID99-ID1067iB.html
101,i,220 zł,https://www.olx.pl/d/oferta/iphone-8-100-kondycji-baterii-CID99-ID1067iB.html
102,iphone 13 niebieski 128gb,1 500 zł,https://www.olx.pl/d/oferta/sprzedam-iphone-13-niebieski-128gb-CID99-ID106dAr.html
103,iphone 13 niebieski 128gb,1 500 zł,https://www.olx.pl/d/oferta/sprzedam-iphone-13-niebieski-128gb-CID99-ID106dAr.html
104,iphone 11 64 gb,650 zł,https://www.olx.pl/d/oferta/iphone-11-64-gb-CID99-ID106hwB.html
105,iphone 11 64 gb,650 zł,https://www.olx.pl/d/oferta/iphone-11-64-gb-CID99-ID106hwB.html
106,iphone 12 128gb,1 300 zł,https://www.olx.pl/d/oferta/iphone-12-128gb-CID99-ID10618S.html
107,iphone 12 128gb,1 300 zł,https://www.olx.pl/d/oferta/iphone-12-128gb-CID99-ID10618S.html
108,iphone 12 64gb,900 zł,https://www.olx.pl/d/oferta/iphone-12-64gb-granatowy-CID99-ID105SOg.html
